Thorlabs Beam
Version: 9.2.5999.580
Date: 1/7/2026
Time: 2:45:55 PM

Device: BP209-VIS/M
S/N: M01234735
ScanRate [Hz]: 10
Gain X: 5
Gain Y: 5
Bandwidth X [kHz]: 125.002
Bandwidth Y [kHz]: 125.002
Base Level X [digits]: 3141.92
Base Level Y [digits]: 3134.29
Wavelength [nm]: 1064

Pos X [µm];X;Pos Y [µm];Y;
4500.55;2.08e+00;-4500.55;7.71e+00;
4499.37;2.01e+01;-4499.37;-1.23e+01;
4498.19;1.11e+01;-4498.19;1.47e+01;
4497.01;3.08e+00;-4497.01;1.17e+01;
4495.83;-3.39e+01;-4495.83;-7.29e+00;
4494.65;-9.22e-01;-4494.65;1.47e+01;
4493.47;2.08e+00;-4493.47;1.77e+01;
4492.29;-1.92e+00;-4492.29;1.77e+01;
4491.11;-5.69e+01;-4491.11;-4.13e+01;
4489.93;1.01e+01;-4489.93;1.57e+01;
4488.75;8.08e+00;-4488.75;1.07e+01;
4487.56;-5.92e+00;-4487.56;-3.29e+00;
4486.38;4.08e+00;-4486.38;9.71e+00;
4485.2;3.08e+00;-4485.2;1.37e+01;
4484.02;7.81e-02;-4484.02;1.57e+01;
4482.84;-4.09e+01;-4482.84;-1.23e+01;
4481.66;8.08e+00;-4481.66;1.27e+01;
4480.48;7.08e+00;-4480.48;9.71e+00;
4479.3;-1.92e+00;-4479.3;6.71e+00;
4478.12;-5.39e+01;-4478.12;-5.23e+01;
4476.94;1.08e+00;-4476.94;2.07e+01;
4475.76;-3.92e+00;-4475.76;2.07e+01;
4474.58;-1.59e+01;-4474.58;9.71e+00;
4473.4;3.08e+00;-4473.4;1.97e+01;
4472.22;8.08e+00;-4472.22;1.37e+01;
4471.04;8.08e+00;-4471.04;1.27e+01;
4469.86;-3.19e+01;-4469.86;-9.29e+00;
4468.68;8.08e+00;-4468.68;1.97e+01;
4467.5;6.08e+00;-4467.5;1.97e+01;
4466.32;-9.22e-01;-4466.32;1.37e+01;
4465.13;-5.89e+01;-4465.13;-4.93e+01;
4463.95;5.08e+00;-4463.95;1.27e+01;
4462.77;3.08e+00;-4462.77;6.71e+00;
4461.59;-1.09e+01;-4461.59;-7.29e+00;
4460.41;-9.22e-01;-4460.41;9.71e+00;
4459.23;-9.22e-01;-4459.23;3.71e+00;
4458.05;-3.92e+00;-4458.05;5.71e+00;
4456.87;-4.89e+01;-4456.87;-1.83e+01;
4455.69;4.08e+00;-4455.69;1.17e+01;
4454.51;4.08e+00;-4454.51;1.27e+01;
4453.33;-4.92e+00;-4453.33;9.71e+00;
4452.15;-5.69e+01;-4452.15;-5.63e+01;
4450.97;-4.92e+00;-4450.97;1.07e+01;
4449.79;-5.92e+00;-4449.79;1.07e+01;
4448.61;-1.69e+01;-4448.61;1.71e+00;
4447.43;7.08e+00;-4447.43;2.07e+01;
4446.25;1.31e+01;-4446.25;1.77e+01;
4445.07;1.31e+01;-4445.07;1.57e+01;
4443.88;-3.39e+01;-4443.88;-1.83e+01;
4442.7;6.08e+00;-4442.7;1.77e+01;
4441.52;1.08e+00;-4441.52;1.47e+01;
4440.34;-8.92e+00;-4440.34;7.71e+00;
4439.16;-5.39e+01;-4439.16;-5.03e+01;
4437.98;3.08e+00;-4437.98;1.17e+01;
4436.8;4.08e+00;-4436.8;1.07e+01;
4435.62;-1.09e+01;-4435.62;-1.29e+00;
4434.44;7.81e-02;-4434.44;1.47e+01;
4433.26;7.81e-02;-4433.26;1.37e+01;
4432.08;-1.92e+00;-4432.08;1.07e+01;
4430.9;-4.49e+01;-4430.9;-2.43e+01;
4429.72;7.08e+00;-4429.72;1.17e+01;
4428.54;7.08e+00;-4428.54;1.27e+01;
4427.36;-9.22e-01;-4427.36;8.71e+00;
4426.18;-3.19e+01;-4426.18;-5.43e+01;
4425;7.81e-02;-4425;1.87e+01;
4423.82;-9.22e-01;-4423.82;1.77e+01;
4422.64;-1.39e+01;-4422.64;6.71e+00;
4421.45;1.01e+01;-4421.45;2.27e+01;
4420.27;1.31e+01;-4420.27;1.77e+01;
4419.09;1.01e+01;-4419.09;1.37e+01;
4417.91;-3.89e+01;-4417.91;-2.53e+01;
4416.73;3.08e+00;-4416.73;1.77e+01;
4415.55;4.08e+00;-4415.55;1.37e+01;
4414.37;7.81e-02;-4414.37;6.71e+00;
4413.19;-2.79e+01;-4413.19;-3.53e+01;
4412.01;1.91e+01;-4412.01;1.77e+01;
4410.83;1.71e+01;-4410.83;1.77e+01;
4409.65;-2.92e+00;-4409.65;2.71e+00;
4408.47;1.01e+01;-4408.47;1.77e+01;
4407.29;4.08e+00;-4407.29;1.47e+01;
4406.11;-1.92e+00;-4406.11;9.71e+00;
4404.93;-5.69e+01;-4404.93;-3.03e+01;
4403.75;1.08e+00;-4403.75;9.71e+00;
4402.57;1.08e+00;-4402.57;1.37e+01;
4401.39;-4.92e+00;-4401.39;1.37e+01;
4400.23;-2.59e+01;-4400.26;-3.53e+01;
4399.08;1.01e+01;-4399.13;2.57e+01;
4397.93;1.31e+01;-4398;1.97e+01;
4396.77;-1.92e+00;-4396.88;-1.29e+00;
4395.62;1.41e+01;-4395.75;1.17e+01;
4394.47;1.11e+01;-4394.62;1.37e+01;
4393.31;3.08e+00;-4393.5;1.27e+01;
4392.16;-5.39e+01;-4392.37;-3.03e+01;
4391.01;3.08e+00;-4391.24;1.77e+01;
4389.85;7.08e+00;-4390.12;1.17e+01;
4388.7;1.08e+00;-4388.99;1.71e+00;
4387.55;1.08e+00;-4387.86;-3.83e+01;
4386.4;8.08e+00;-4386.74;8.71e+00;
4385.24;-9.22e-01;-4385.61;9.71e+00;
4384.09;-2.79e+01;-4384.48;-3.29e+00;
4382.94;-7.92e+00;-4383.36;1.57e+01;
4381.78;-5.92e+00;-4382.23;1.57e+01;
4380.63;-4.92e+00;-4381.1;1.17e+01;
4379.48;-6.19e+01;-4379.98;-3.03e+01;
4378.32;1.01e+01;-4378.85;1.57e+01;
4377.17;6.08e+00;-4377.72;1.77e+01;
4376.02;-4.92e+00;-4376.59;1.07e+01;
4374.86;1.08e+00;-4375.47;-1.83e+01;
4373.71;2.08e+00;-4374.34;1.87e+01;
4372.56;3.08e+00;-4373.21;1.27e+01;
4371.41;-1.49e+01;-4372.09;-8.29e+00;
4370.25;9.08e+00;-4370.96;9.71e+00;
4369.1;8.08e+00;-4369.83;1.17e+01;
4367.95;1.08e+00;-4368.71;1.37e+01;
4366.79;-5.89e+01;-4367.58;-3.73e+01;
4365.64;4.08e+00;-4366.45;2.07e+01;
4364.49;2.08e+00;-4365.33;1.47e+01;
4363.33;-1.09e+01;-4364.2;7.11e-01;
4362.18;7.81e-02;-4363.07;-2.83e+01;
4361.03;-9.22e-01;-4361.94;-2.29e+00;
4359.87;-2.92e+00;-4360.82;7.11e-01;
4358.72;-2.59e+01;-4359.69;-1.23e+01;
4357.57;-9.22e-01;-4358.56;1.87e+01;
4356.42;1.08e+00;-4357.44;2.17e+01;
4355.26;-1.92e+00;-4356.31;1.77e+01;
4354.11;-6.29e+01;-4355.18;-4.63e+01;
4352.96;4.08e+00;-4354.06;1.37e+01;
4351.8;1.08e+00;-4352.93;1.27e+01;
4350.65;-9.92e+00;-4351.8;4.71e+00;
4349.5;4.08e+00;-4350.62;1.47e+01;
4348.34;3.08e+00;-4349.44;1.97e+01;
4347.19;6.08e+00;-4348.26;1.77e+01;
