Thorlabs Beam
Version: 9.2.5999.580
Date: 1/7/2026
Time: 2:47:31 PM

Device: BP209-VIS/M
S/N: M01234735
ScanRate [Hz]: 10
Gain X: 5
Gain Y: 5
Bandwidth X [kHz]: 125.002
Bandwidth Y [kHz]: 125.002
Base Level X [digits]: 3148.75
Base Level Y [digits]: 3129.6
Wavelength [nm]: 1064

Pos X [µm];X;Pos Y [µm];Y;
4500.55;-2.75e+00;-4500.55;-3.86e+01;
4499.37;-2.58e+01;-4499.37;2.54e+01;
4498.19;3.25e+00;-4498.19;2.44e+01;
4497.01;-7.50e-01;-4497.01;1.44e+01;
4495.83;-6.75e+00;-4495.83;2.44e+01;
4494.65;-6.88e+01;-4494.65;2.74e+01;
4493.47;-4.75e+00;-4493.47;2.84e+01;
4492.29;-3.75e+00;-4492.29;6.40e+00;
4491.11;-1.28e+01;-4491.11;3.14e+01;
4489.93;9.25e+00;-4489.93;3.44e+01;
4488.75;6.25e+00;-4488.75;2.84e+01;
4487.56;4.25e+00;-4487.56;-3.86e+01;
4486.38;-3.28e+01;-4486.38;3.04e+01;
4485.2;-1.75e+00;-4485.2;2.44e+01;
4484.02;-5.75e+00;-4484.02;9.40e+00;
4482.84;-1.28e+01;-4482.84;1.84e+01;
4481.66;-7.28e+01;-4481.66;1.84e+01;
4480.48;2.50e-01;-4480.48;2.14e+01;
4479.3;3.25e+00;-4479.3;3.40e+00;
4478.12;-6.75e+00;-4478.12;3.34e+01;
4476.94;5.25e+00;-4476.94;3.24e+01;
4475.76;-7.75e+00;-4475.76;2.74e+01;
4474.58;-1.48e+01;-4474.58;-3.86e+01;
4473.4;-4.48e+01;-4473.4;2.34e+01;
4472.22;-8.75e+00;-4472.22;1.94e+01;
4471.04;-4.75e+00;-4471.04;1.04e+01;
4469.86;-6.75e+00;-4469.86;2.84e+01;
4468.68;-6.48e+01;-4468.68;2.94e+01;
4467.5;3.25e+00;-4467.5;3.04e+01;
4466.32;1.25e+00;-4466.32;3.98e-01;
4465.13;-1.18e+01;-4465.13;2.54e+01;
4463.95;4.25e+00;-4463.95;2.54e+01;
4462.77;-6.75e+00;-4462.77;2.24e+01;
4461.59;-1.28e+01;-4461.59;-4.56e+01;
4460.41;-4.28e+01;-4460.41;2.54e+01;
4459.23;-1.28e+01;-4459.23;2.64e+01;
4458.05;-8.75e+00;-4458.05;1.94e+01;
4456.87;-9.75e+00;-4456.87;3.74e+01;
4455.69;-6.78e+01;-4455.69;3.04e+01;
4454.51;3.25e+00;-4454.51;2.54e+01;
4453.33;3.25e+00;-4453.33;-7.60e+00;
4452.15;-1.18e+01;-4452.15;2.44e+01;
4450.97;-7.50e-01;-4450.97;2.34e+01;
4449.79;-1.28e+01;-4449.79;1.84e+01;
4448.61;-1.78e+01;-4448.61;-4.46e+01;
4447.43;-4.48e+01;-4447.43;2.24e+01;
4446.25;-1.08e+01;-4446.25;2.24e+01;
4445.07;-4.75e+00;-4445.07;1.44e+01;
4443.88;-3.75e+00;-4443.88;3.64e+01;
4442.7;-6.58e+01;-4442.7;3.44e+01;
4441.52;3.25e+00;-4441.52;3.14e+01;
4440.34;2.50e-01;-4440.34;-1.60e+00;
4439.16;-1.28e+01;-4439.16;2.84e+01;
4437.98;1.02e+01;-4437.98;3.04e+01;
4436.8;6.25e+00;-4436.8;2.54e+01;
4435.62;3.25e+00;-4435.62;-3.66e+01;
4434.44;-3.68e+01;-4434.44;3.14e+01;
4433.26;-5.75e+00;-4433.26;3.04e+01;
4432.08;-7.75e+00;-4432.08;1.74e+01;
4430.9;-1.28e+01;-4430.9;3.54e+01;
4429.72;-6.68e+01;-4429.72;3.04e+01;
4428.54;1.25e+00;-4428.54;2.84e+01;
4427.36;-7.50e-01;-4427.36;-8.60e+00;
4426.18;-1.48e+01;-4426.18;2.24e+01;
4425;-5.75e+00;-4425;1.64e+01;
4423.82;-6.75e+00;-4423.82;8.40e+00;
4422.64;-1.08e+01;-4422.64;-3.76e+01;
4421.45;-5.68e+01;-4421.45;2.54e+01;
4420.27;-5.75e+00;-4420.27;3.04e+01;
4419.09;-5.75e+00;-4419.09;2.04e+01;
4417.91;-1.08e+01;-4417.91;3.64e+01;
4416.73;-1.48e+01;-4416.73;3.34e+01;
4415.55;5.25e+00;-4415.55;2.94e+01;
4414.37;6.25e+00;-4414.37;-1.36e+01;
4413.19;-1.18e+01;-4413.19;3.14e+01;
4412.01;7.25e+00;-4412.01;3.24e+01;
4410.83;5.25e+00;-4410.83;2.64e+01;
4409.65;-7.50e-01;-4409.65;6.40e+00;
4408.47;-5.58e+01;-4408.47;3.54e+01;
4407.29;2.50e-01;-4407.29;3.14e+01;
4406.11;-7.50e-01;-4406.11;1.04e+01;
4404.93;-8.75e+00;-4404.93;2.54e+01;
4403.75;-9.75e+00;-4403.75;2.84e+01;
4402.57;1.25e+00;-4402.57;2.84e+01;
4401.39;-3.75e+00;-4401.39;-2.36e+01;
4400.23;-3.08e+01;-4400.23;3.44e+01;
4399.08;-3.75e+00;-4399.08;2.74e+01;
4397.93;-2.75e+00;-4397.93;1.64e+01;
4396.77;-6.75e+00;-4396.77;-1.36e+01;
4395.62;-7.18e+01;-4395.62;2.04e+01;
4394.47;-7.50e-01;-4394.47;2.44e+01;
4393.31;-1.75e+00;-4393.31;1.14e+01;
4392.16;-1.48e+01;-4392.16;3.94e+01;
4391.01;3.25e+00;-4391.01;4.14e+01;
4389.85;-7.50e-01;-4389.85;3.44e+01;
4388.7;-2.75e+00;-4388.7;-2.36e+01;
