Thorlabs Beam
Version: 9.2.5999.580
Date: 1/7/2026
Time: 3:03:57 PM

Device: BP209-VIS/M
S/N: M01234735
ScanRate [Hz]: 10
Gain X: 5
Gain Y: 5
Bandwidth X [kHz]: 125.002
Bandwidth Y [kHz]: 125.002
Base Level X [digits]: 3249.91
Base Level Y [digits]: 3134.53
Wavelength [nm]: 1064

Pos X [µm];X;Pos Y [µm];Y;
4500.55;2.08e+02;-4500.55;1.65e+03;
4499.37;1.94e+02;-4499.37;1.67e+03;
4498.19;1.97e+02;-4498.19;1.67e+03;
4497.01;2.07e+02;-4497.01;1.67e+03;
4495.83;2.18e+02;-4495.83;1.65e+03;
4494.65;2.15e+02;-4494.65;1.71e+03;
4493.47;2.56e+02;-4493.47;1.73e+03;
4492.29;2.66e+02;-4492.29;1.74e+03;
4491.11;2.59e+02;-4491.11;1.73e+03;
4489.93;1.85e+02;-4489.93;1.76e+03;
4488.75;2.34e+02;-4488.75;1.75e+03;
4487.56;2.22e+02;-4487.56;1.74e+03;
4486.38;2.08e+02;-4486.38;1.76e+03;
4485.2;2.16e+02;-4485.2;1.78e+03;
4484.02;2.38e+02;-4484.02;1.79e+03;
4482.84;2.55e+02;-4482.84;1.77e+03;
4481.66;2.45e+02;-4481.66;1.83e+03;
4480.48;2.78e+02;-4480.48;1.83e+03;
4479.3;2.72e+02;-4479.3;1.82e+03;
4478.12;2.54e+02;-4478.12;1.81e+03;
4476.94;1.77e+02;-4476.94;1.84e+03;
4475.76;2.34e+02;-4475.76;1.85e+03;
4474.58;2.33e+02;-4474.58;1.85e+03;
4473.4;2.32e+02;-4473.4;1.88e+03;
4472.22;2.30e+02;-4472.22;1.89e+03;
4471.04;2.67e+02;-4471.04;1.89e+03;
4469.86;2.78e+02;-4469.86;1.84e+03;
4468.68;2.66e+02;-4468.68;1.90e+03;
4467.5;2.92e+02;-4467.5;1.90e+03;
4466.32;2.96e+02;-4466.32;1.90e+03;
4465.13;2.92e+02;-4465.13;1.89e+03;
4463.95;2.28e+02;-4463.95;1.92e+03;
4462.77;2.86e+02;-4462.77;1.93e+03;
4461.59;2.79e+02;-4461.59;1.92e+03;
4460.41;2.69e+02;-4460.41;1.95e+03;
4459.23;2.86e+02;-4459.23;1.96e+03;
4458.05;2.91e+02;-4458.05;1.96e+03;
4456.87;2.99e+02;-4456.87;1.93e+03;
4455.69;2.82e+02;-4455.69;1.98e+03;
4454.51;3.10e+02;-4454.51;1.98e+03;
4453.33;3.09e+02;-4453.33;1.98e+03;
4452.15;3.04e+02;-4452.15;1.98e+03;
4450.97;2.41e+02;-4450.97;2.01e+03;
4449.79;3.00e+02;-4449.79;2.02e+03;
4448.61;3.00e+02;-4448.61;2.01e+03;
4447.43;2.95e+02;-4447.43;2.04e+03;
4446.25;3.17e+02;-4446.25;2.04e+03;
4445.07;3.26e+02;-4445.07;2.04e+03;
4443.88;3.36e+02;-4443.88;1.99e+03;
4442.7;3.20e+02;-4442.7;2.06e+03;
4441.52;3.52e+02;-4441.52;2.06e+03;
4440.34;3.51e+02;-4440.34;2.06e+03;
4439.16;3.44e+02;-4439.16;2.07e+03;
4437.98;2.86e+02;-4437.98;2.09e+03;
4436.8;3.64e+02;-4436.8;2.11e+03;
4435.62;3.72e+02;-4435.62;2.11e+03;
4434.44;3.64e+02;-4434.44;2.14e+03;
4433.26;3.74e+02;-4433.26;2.15e+03;
4432.08;3.53e+02;-4432.08;2.14e+03;
4430.9;3.37e+02;-4430.9;2.09e+03;
4429.72;3.00e+02;-4429.72;2.13e+03;
4428.54;3.50e+02;-4428.54;2.14e+03;
4427.36;3.67e+02;-4427.36;2.14e+03;
4426.18;3.81e+02;-4426.18;2.16e+03;
4425;3.39e+02;-4425;2.18e+03;
4423.82;3.97e+02;-4423.82;2.19e+03;
4422.64;3.87e+02;-4422.64;2.18e+03;
4421.45;3.63e+02;-4421.45;2.20e+03;
4420.27;3.72e+02;-4420.27;2.21e+03;
4419.09;3.73e+02;-4419.09;2.21e+03;
4417.91;3.82e+02;-4417.91;2.17e+03;
4416.73;3.58e+02;-4416.73;2.23e+03;
4415.55;4.21e+02;-4415.55;2.24e+03;
4414.37;4.35e+02;-4414.37;2.24e+03;
4413.19;4.34e+02;-4413.19;2.23e+03;
4412.01;3.94e+02;-4412.01;2.26e+03;
4410.83;4.32e+02;-4410.83;2.27e+03;
4409.65;4.22e+02;-4409.65;2.27e+03;
4408.47;4.06e+02;-4408.47;2.30e+03;
4407.29;4.25e+02;-4407.29;2.32e+03;
4406.11;4.34e+02;-4406.11;2.32e+03;
4404.93;4.38e+02;-4404.93;2.27e+03;
4403.75;3.93e+02;-4403.75;2.31e+03;
4402.57;4.42e+02;-4402.57;2.32e+03;
4401.39;4.31e+02;-4401.39;2.32e+03;
4400.23;4.17e+02;-4400.23;2.33e+03;
4399.08;4.00e+02;-4399.08;2.36e+03;
