Thorlabs Beam
Version: 9.2.5999.580
Date: 1/7/2026
Time: 3:00:02 PM

Device: BP209-VIS/M
S/N: M01234735
ScanRate [Hz]: 10
Gain X: 5
Gain Y: 5
Bandwidth X [kHz]: 125.002
Bandwidth Y [kHz]: 125.002
Base Level X [digits]: 3156.8
Base Level Y [digits]: 3123.54
Wavelength [nm]: 1064

Pos X [µm];X;Pos Y [µm];Y;
4500.55;4.72e+01;-4500.55;1.48e+02;
4499.37;4.62e+01;-4499.37;1.54e+02;
4498.19;3.62e+01;-4498.19;1.51e+02;
4497.01;-3.28e+01;-4497.01;8.55e+01;
4495.83;3.72e+01;-4495.83;1.50e+02;
4494.65;3.92e+01;-4494.65;1.44e+02;
4493.47;3.32e+01;-4493.47;1.31e+02;
4492.29;4.92e+01;-4492.29;1.47e+02;
4491.11;4.92e+01;-4491.11;1.44e+02;
4489.93;4.32e+01;-4489.93;1.40e+02;
4488.75;-6.80e+00;-4488.75;1.03e+02;
4487.56;3.52e+01;-4487.56;1.39e+02;
4486.38;2.82e+01;-4486.38;1.34e+02;
4485.2;1.62e+01;-4485.2;1.30e+02;
4484.02;-2.78e+01;-4484.02;7.25e+01;
4482.84;2.12e+01;-4482.84;1.43e+02;
4481.66;2.32e+01;-4481.66;1.45e+02;
4480.48;1.62e+01;-4480.48;1.36e+02;
4479.3;3.82e+01;-4479.3;1.53e+02;
4478.12;4.32e+01;-4478.12;1.46e+02;
4476.94;4.32e+01;-4476.94;1.42e+02;
4475.76;-1.80e+00;-4475.76;1.16e+02;
4474.58;4.32e+01;-4474.58;1.55e+02;
4473.4;4.12e+01;-4473.4;1.61e+02;
4472.22;3.42e+01;-4472.22;1.55e+02;
4471.04;-7.97e-01;-4471.04;9.35e+01;
4469.86;4.62e+01;-4469.86;1.57e+02;
4468.68;4.82e+01;-4468.68;1.54e+02;
4467.5;3.62e+01;-4467.5;1.45e+02;
4466.32;5.62e+01;-4466.32;1.62e+02;
4465.13;5.92e+01;-4465.13;1.66e+02;
4463.95;5.02e+01;-4463.95;1.64e+02;
4462.77;-8.80e+00;-4462.77;1.20e+02;
4461.59;3.62e+01;-4461.59;1.55e+02;
4460.41;2.32e+01;-4460.41;1.43e+02;
4459.23;1.12e+01;-4459.23;1.29e+02;
4458.05;-1.80e+00;-4458.05;9.85e+01;
4456.87;4.12e+01;-4456.87;1.44e+02;
4455.69;5.62e+01;-4455.69;1.54e+02;
4454.51;4.82e+01;-4454.51;1.47e+02;
4453.33;6.92e+01;-4453.33;1.69e+02;
4452.15;6.22e+01;-4452.15;1.72e+02;
