Thorlabs Beam
Version: 9.2.5999.580
Date: 1/7/2026
Time: 3:04:57 PM

Device: BP209-VIS/M
S/N: M01234735
ScanRate [Hz]: 10
Gain X: 5
Gain Y: 5
Bandwidth X [kHz]: 125.002
Bandwidth Y [kHz]: 125.002
Base Level X [digits]: 3246.24
Base Level Y [digits]: 3133.9
Wavelength [nm]: 1064

Pos X [µm];X;Pos Y [µm];Y;
4500.55;9.38e+01;-4500.55;1.40e+03;
4499.37;1.38e+02;-4499.37;1.44e+03;
4498.19;1.30e+02;-4498.19;1.45e+03;
4497.01;1.18e+02;-4497.01;1.46e+03;
4495.83;1.30e+02;-4495.83;1.42e+03;
4494.65;1.46e+02;-4494.65;1.49e+03;
4493.47;1.63e+02;-4493.47;1.50e+03;
4492.29;1.57e+02;-4492.29;1.50e+03;
4491.11;1.95e+02;-4491.11;1.52e+03;
4489.93;1.98e+02;-4489.93;1.54e+03;
4488.75;1.80e+02;-4488.75;1.54e+03;
4487.56;9.58e+01;-4487.56;1.51e+03;
4486.38;1.50e+02;-4486.38;1.55e+03;
4485.2;1.46e+02;-4485.2;1.54e+03;
4484.02;1.49e+02;-4484.02;1.54e+03;
4482.84;1.85e+02;-4482.84;1.51e+03;
4481.66;2.08e+02;-4481.66;1.56e+03;
4480.48;2.21e+02;-4480.48;1.58e+03;
4479.3;1.95e+02;-4479.3;1.58e+03;
4478.12;2.15e+02;-4478.12;1.61e+03;
4476.94;1.94e+02;-4476.94;1.61e+03;
4475.76;1.70e+02;-4475.76;1.61e+03;
4474.58;1.10e+02;-4474.58;1.58e+03;
4473.4;1.72e+02;-4473.4;1.62e+03;
4472.22;1.86e+02;-4472.22;1.62e+03;
4471.04;1.95e+02;-4471.04;1.62e+03;
4469.86;2.32e+02;-4469.86;1.59e+03;
4468.68;2.39e+02;-4468.68;1.64e+03;
4467.5;2.43e+02;-4467.5;1.65e+03;
4466.32;2.15e+02;-4466.32;1.65e+03;
4465.13;2.38e+02;-4465.13;1.67e+03;
4463.95;2.26e+02;-4463.95;1.69e+03;
4462.77;2.05e+02;-4462.77;1.70e+03;
4461.59;1.34e+02;-4461.59;1.67e+03;
4460.41;1.96e+02;-4460.41;1.70e+03;
4459.23;1.99e+02;-4459.23;1.70e+03;
4458.05;2.02e+02;-4458.05;1.69e+03;
4456.87;2.36e+02;-4456.87;1.66e+03;
4455.69;2.45e+02;-4455.69;1.72e+03;
4454.51;2.42e+02;-4454.51;1.73e+03;
4453.33;2.04e+02;-4453.33;1.73e+03;
4452.15;2.28e+02;-4452.15;1.76e+03;
4450.97;2.22e+02;-4450.97;1.76e+03;
4449.79;2.24e+02;-4449.79;1.76e+03;
4448.61;1.77e+02;-4448.61;1.72e+03;
4447.43;2.50e+02;-4447.43;1.76e+03;
4446.25;2.52e+02;-4446.25;1.76e+03;
4445.07;2.39e+02;-4445.07;1.76e+03;
4443.88;2.58e+02;-4443.88;1.75e+03;
4442.7;2.57e+02;-4442.7;1.79e+03;
4441.52;2.67e+02;-4441.52;1.80e+03;
4440.34;2.48e+02;-4440.34;1.80e+03;
4439.16;2.91e+02;-4439.16;1.82e+03;
4437.98;2.97e+02;-4437.98;1.84e+03;
4436.8;2.91e+02;-4436.8;1.85e+03;
4435.62;2.28e+02;-4435.62;1.81e+03;
4434.44;2.90e+02;-4434.44;1.86e+03;
4433.26;2.86e+02;-4433.26;1.86e+03;
4432.08;2.71e+02;-4432.08;1.85e+03;
4430.9;2.84e+02;-4430.9;1.84e+03;
4429.72;2.88e+02;-4429.72;1.87e+03;
4428.54;2.85e+02;-4428.54;1.88e+03;
4427.36;2.43e+02;-4427.36;1.88e+03;
4426.18;2.86e+02;-4426.18;1.90e+03;
4425;2.88e+02;-4425;1.90e+03;
4423.82;2.89e+02;-4423.82;1.89e+03;
4422.64;2.49e+02;-4422.64;1.84e+03;
4421.45;3.19e+02;-4421.45;1.90e+03;
4420.27;3.31e+02;-4420.27;1.91e+03;
