Pos X [µm];X;Pos Y [µm];Y;
4500.55;8.41e+00;-4500.55;1.47e+01;
4499.37;1.24e+01;-4499.37;2.37e+01;
4498.19;7.41e+00;-4498.19;2.17e+01;
4497.01;-5.26e+01;-4497.01;-2.33e+01;
4495.83;2.34e+01;-4495.83;3.57e+01;
4494.65;2.84e+01;-4494.65;3.37e+01;
4493.47;1.94e+01;-4493.47;1.47e+01;
4492.29;2.94e+01;-4492.29;2.37e+01;
4491.11;1.94e+01;-4491.11;2.17e+01;
4489.93;5.41e+00;-4489.93;1.67e+01;
4488.75;-3.96e+01;-4488.75;-3.23e+01;
4487.56;-6.59e+00;-4487.56;2.17e+01;
4486.38;-6.59e+00;-4486.38;2.17e+01;
4485.2;-5.59e+00;-4485.2;1.17e+01;
4484.02;-5.86e+01;-4484.02;-9.26e+00;
4482.84;1.44e+01;-4482.84;1.57e+01;
4481.66;1.54e+01;-4481.66;1.57e+01;
4480.48;3.41e+00;-4480.48;7.42e-01;
4479.3;1.34e+01;-4479.3;1.87e+01;
4478.12;4.14e-01;-4478.12;1.77e+01;
4476.94;-4.59e+00;-4476.94;1.47e+01;
4475.76;-3.56e+01;-4475.76;-3.73e+01;
4474.58;9.41e+00;-4474.58;1.97e+01;
4473.4;1.64e+01;-4473.4;2.17e+01;
4472.22;1.34e+01;-4472.22;1.47e+01;
4471.04;-4.46e+01;-4471.04;1.77e+01;
4469.86;1.44e+01;-4469.86;2.47e+01;
4468.68;1.04e+01;-4468.68;1.97e+01;
4467.5;-5.86e-01;-4467.5;-2.26e+00;
4466.32;1.94e+01;-4466.32;1.67e+01;
4465.13;2.44e+01;-4465.13;1.77e+01;
4463.95;1.94e+01;-4463.95;1.57e+01;
4462.77;-3.76e+01;-4462.77;-4.23e+01;
4461.59;7.41e+00;-4461.59;1.77e+01;
4460.41;-2.59e+00;-4460.41;1.47e+01;
4459.23;-1.26e+01;-4459.23;4.74e+00;
4458.05;-4.46e+01;-4458.05;7.74e+00;
4456.87;2.41e+00;-4456.87;1.37e+01;
4455.69;5.41e+00;-4455.69;1.37e+01;
4454.51;-6.59e+00;-4454.51;-4.26e+00;
4453.33;8.41e+00;-4453.33;2.57e+01;
4452.15;4.41e+00;-4452.15;2.57e+01;
4450.97;-1.59e+00;-4450.97;1.87e+01;
4449.79;-5.36e+01;-4449.79;-4.73e+01;
4448.61;6.41e+00;-4448.61;1.77e+01;
4447.43;1.54e+01;-4447.43;1.67e+01;
4446.25;1.94e+01;-4446.25;1.17e+01;
4445.07;-3.59e+00;-4445.07;3.27e+01;
4443.88;3.34e+01;-4443.88;3.47e+01;
4442.7;2.54e+01;-4442.7;3.17e+01;
4441.52;1.41e+00;-4441.52;-4.26e+00;
4440.34;1.34e+01;-4440.34;1.77e+01;
4439.16;1.44e+01;-4439.16;1.37e+01;
4437.98;1.54e+01;-4437.98;9.74e+00;
4436.8;-3.16e+01;-4436.8;-5.13e+01;
4435.62;3.04e+01;-4435.62;2.47e+01;
4434.44;3.14e+01;-4434.44;2.87e+01;
4433.26;1.94e+01;-4433.26;1.77e+01;
4432.08;1.74e+01;-4432.08;3.37e+01;
4430.9;1.64e+01;-4430.9;2.37e+01;
4429.72;7.41e+00;-4429.72;1.67e+01;
4428.54;-1.76e+01;-4428.54;-2.13e+01;
4427.36;8.41e+00;-4427.36;1.77e+01;
4426.18;1.14e+01;-4426.18;2.17e+01;
4425;1.14e+01;-4425;2.17e+01;
4423.82;-4.26e+01;-4423.82;-3.13e+01;
4422.64;2.64e+01;-4422.64;3.17e+01;
4421.45;3.24e+01;-4421.45;2.87e+01;
4420.27;2.74e+01;-4420.27;1.57e+01;
4419.09;3.64e+01;-4419.09;3.57e+01;
4417.91;3.54e+01;-4417.91;2.67e+01;
4416.73;2.64e+01;-4416.73;2.17e+01;
4415.55;-5.59e+00;-4415.55;-1.83e+01;
4414.37;1.24e+01;-4414.37;1.97e+01;
4413.19;1.44e+01;-4413.19;2.27e+01;
4412.01;1.74e+01;-4412.01;2.07e+01;
4410.83;-2.86e+01;-4410.83;-3.93e+01;
4409.65;3.84e+01;-4409.65;3.17e+01;
4408.47;3.94e+01;-4408.47;2.77e+01;
4407.29;2.44e+01;-4407.29;1.07e+01;
4406.11;1.44e+01;-4406.11;2.37e+01;
4404.93;1.94e+01;-4404.93;1.57e+01;
4403.75;1.44e+01;-4403.75;1.17e+01;
4402.57;-9.59e+00;-4402.57;-1.93e+01;
4401.39;1.74e+01;-4401.39;2.27e+01;
4400.23;1.54e+01;-4400.23;2.47e+01;
4399.08;1.64e+01;-4399.08;1.97e+01;
4397.93;-3.66e+01;-4397.93;-2.93e+01;
4396.77;3.64e+01;-4396.77;2.77e+01;
4395.62;4.54e+01;-4395.62;2.87e+01;
4394.47;4.14e+01;-4394.47;1.47e+01;
4393.31;4.84e+01;-4393.31;3.07e+01;
4392.16;4.54e+01;-4392.16;2.97e+01;
4391.01;3.14e+01;-4391.01;2.17e+01;
4389.85;4.14e-01;-4389.85;-2.43e+01;
4388.7;1.94e+01;-4388.7;1.67e+01;
4387.55;2.14e+01;-4387.55;1.97e+01;
4386.4;1.94e+01;-4386.4;1.57e+01;
4385.24;-4.16e+01;-4385.24;-3.13e+01;
4384.09;2.74e+01;-4384.09;2.77e+01;
4382.94;2.34e+01;-4382.94;2.47e+01;
4381.78;5.41e+00;-4381.78;7.74e+00;
4380.63;1.74e+01;-4380.63;1.87e+01;
4379.48;1.24e+01;-4379.48;1.47e+01;
4378.32;1.54e+01;-4378.32;7.74e+00;
4377.17;-3.59e+00;-4377.17;-3.73e+01;
4376.02;3.54e+01;-4376.02;1.97e+01;
4374.86;4.04e+01;-4374.86;2.47e+01;
4373.71;3.34e+01;-4373.71;2.37e+01;
4372.56;-2.66e+01;-4372.56;-9.26e+00;
4371.41;3.34e+01;-4371.41;2.97e+01;
4370.25;3.34e+01;-4370.25;2.47e+01;
4369.1;2.54e+01;-4369.1;5.74e+00;
4367.95;4.84e+01;-4367.95;2.37e+01;
4366.79;4.14e+01;-4366.79;2.37e+01;
4365.64;3.04e+01;-4365.64;1.97e+01;
4364.49;-1.66e+01;-4364.49;-2.73e+01;
4363.33;1.64e+01;-4363.33;1.37e+01;
4362.18;1.74e+01;-4362.18;1.27e+01;
4361.03;1.94e+01;-4361.03;6.74e+00;
4359.87;-2.36e+01;-4359.87;-2.73e+01;
4358.72;3.94e+01;-4358.72;2.77e+01;
4357.57;3.24e+01;-4357.57;2.77e+01;
4356.42;7.41e+00;-4356.42;5.74e+00;
4355.26;1.14e+01;-4355.26;1.77e+01;
4354.11;8.41e+00;-4354.11;9.74e+00;
4352.96;9.41e+00;-4352.96;7.74e+00;
4351.8;-2.06e+01;-4351.8;-4.03e+01;
4350.62;3.54e+01;-4350.62;2.47e+01;
4349.44;4.34e+01;-4349.44;2.97e+01;
4348.26;4.04e+01;-4348.26;2.67e+01;
4347.08;-1.36e+01;-4347.08;1.47e+01;
4345.9;3.34e+01;-4345.9;3.17e+01;
4344.72;2.44e+01;-4344.72;2.57e+01;
4343.54;4.41e+00;-4343.54;2.74e+00;
4342.36;1.84e+01;-4342.36;2.17e+01;
4341.18;2.34e+01;-4341.18;1.97e+01;
4340;3.04e+01;-4340;1.27e+01;
4338.82;-5.59e+00;-4338.82;-4.53e+01;
4337.64;5.14e+01;-4337.64;1.47e+01;
4336.46;5.34e+01;-4336.46;1.87e+01;
4335.28;4.14e+01;-4335.28;1.57e+01;
4334.1;-4.59e+00;-4334.1;-2.26e+00;
4332.91;3.14e+01;-4332.91;3.27e+01;
4331.73;2.04e+01;-4331.73;2.97e+01;
4330.55;6.41e+00;-4330.55;2.74e+00;
4329.37;2.64e+01;-4329.37;1.77e+01;
4328.19;3.64e+01;-4328.19;1.37e+01;
4327.01;4.14e+01;-4327.01;1.37e+01;
4325.83;-2.59e+00;-4325.83;-3.93e+01;
