Pos X [µm];X;Pos Y [µm];Y;
4500.55;6.58e+01;-4500.55;8.02e+02;
4499.37;7.88e+01;-4499.37;7.86e+02;
4498.19;8.48e+01;-4498.19;8.05e+02;
4497.01;3.68e+01;-4497.01;8.14e+02;
4495.83;1.01e+02;-4495.83;8.25e+02;
4494.65;9.38e+01;-4494.65;7.96e+02;
4493.47;6.98e+01;-4493.47;8.62e+02;
4492.29;7.98e+01;-4492.29;8.74e+02;
4491.11;8.38e+01;-4491.11;8.75e+02;
4489.93;8.88e+01;-4489.93;8.48e+02;
4488.75;5.58e+01;-4488.75;8.80e+02;
4487.56;1.07e+02;-4487.56;8.69e+02;
4486.38;1.08e+02;-4486.38;8.47e+02;
4485.2;9.68e+01;-4485.2;8.63e+02;
4484.02;3.98e+01;-4484.02;8.71e+02;
4482.84;8.58e+01;-4482.84;8.83e+02;
4481.66;7.88e+01;-4481.66;8.55e+02;
4480.48;6.08e+01;-4480.48;9.07e+02;
4479.3;8.28e+01;-4479.3;9.12e+02;
4478.12;8.88e+01;-4478.12;9.03e+02;
4476.94;9.28e+01;-4476.94;8.56e+02;
4475.76;5.28e+01;-4475.76;9.03e+02;
4474.58;1.01e+02;-4474.58;9.04e+02;
4473.4;1.01e+02;-4473.4;8.95e+02;
4472.22;9.18e+01;-4472.22;9.16e+02;
4471.04;4.18e+01;-4471.04;9.27e+02;
4469.86;9.58e+01;-4469.86;9.35e+02;
4468.68;9.88e+01;-4468.68;9.04e+02;
4467.5;9.28e+01;-4467.5;9.58e+02;
4466.32;1.15e+02;-4466.32;9.63e+02;
4465.13;1.21e+02;-4465.13;9.56e+02;
4463.95;1.17e+02;-4463.95;9.35e+02;
4462.77;6.28e+01;-4462.77;9.58e+02;
4461.59;1.07e+02;-4461.59;9.58e+02;
4460.41;1.02e+02;-4460.41;9.49e+02;
4459.23;9.38e+01;-4459.23;9.78e+02;
4458.05;4.58e+01;-4458.05;9.90e+02;
4456.87;9.58e+01;-4456.87;9.96e+02;
4455.69;9.58e+01;-4455.69;9.49e+02;
4454.51;8.58e+01;-4454.51;1.00e+03;
4453.33;1.10e+02;-4453.33;1.00e+03;
4452.15;1.18e+02;-4452.15;9.92e+02;
4450.97;1.19e+02;-4450.97;9.77e+02;
4449.79;7.58e+01;-4449.79;1.00e+03;
4448.61;1.21e+02;-4448.61;1.01e+03;
4447.43;1.16e+02;-4447.43;9.97e+02;
4446.25;1.06e+02;-4446.25;1.02e+03;
4445.07;7.58e+01;-4445.07;1.03e+03;
4443.88;1.17e+02;-4443.88;1.03e+03;
4442.7;1.23e+02;-4442.7;9.83e+02;
4441.52;1.18e+02;-4441.52;1.05e+03;
4440.34;1.40e+02;-4440.34;1.06e+03;
4439.16;1.48e+02;-4439.16;1.06e+03;
4437.98;1.47e+02;-4437.98;1.06e+03;
4436.8;1.02e+02;-4436.8;1.08e+03;
4435.62;1.43e+02;-4435.62;1.08e+03;
4434.44;1.34e+02;-4434.44;1.06e+03;
4433.26;1.24e+02;-4433.26;1.08e+03;
4432.08;7.28e+01;-4432.08;1.08e+03;
4430.9;1.35e+02;-4430.9;1.08e+03;
4429.72;1.39e+02;-4429.72;1.04e+03;
4428.54;1.27e+02;-4428.54;1.10e+03;
4427.36;1.43e+02;-4427.36;1.10e+03;
4426.18;1.40e+02;-4426.18;1.10e+03;
4425;1.35e+02;-4425;1.11e+03;
4423.82;9.28e+01;-4423.82;1.11e+03;
4422.64;1.36e+02;-4422.64;1.12e+03;
4421.45;1.42e+02;-4421.45;1.10e+03;
4420.27;1.40e+02;-4420.27;1.13e+03;
4419.09;1.06e+02;-4419.09;1.14e+03;
4417.91;1.52e+02;-4417.91;1.14e+03;
4416.73;1.52e+02;-4416.73;1.09e+03;
4415.55;1.41e+02;-4415.55;1.15e+03;
4414.37;1.61e+02;-4414.37;1.15e+03;
4413.19;1.70e+02;-4413.19;1.15e+03;
4412.01;1.74e+02;-4412.01;1.17e+03;
4410.83;1.31e+02;-4410.83;1.18e+03;
4409.65;1.76e+02;-4409.65;1.19e+03;
4408.47;1.67e+02;-4408.47;1.18e+03;
4407.29;1.53e+02;-4407.29;1.20e+03;
4406.11;1.07e+02;-4406.11;1.20e+03;
4404.93;1.50e+02;-4404.93;1.20e+03;
4403.75;1.51e+02;-4403.75;1.14e+03;
4402.57;1.42e+02;-4402.57;1.19e+03;
4401.39;1.66e+02;-4401.39;1.19e+03;
4400.23;1.71e+02;-4400.23;1.18e+03;
4399.08;1.69e+02;-4399.08;1.20e+03;
4397.93;1.19e+02;-4397.93;1.21e+03;
4396.77;1.59e+02;-4396.77;1.21e+03;
4395.62;1.54e+02;-4395.62;1.21e+03;
4394.47;1.49e+02;-4394.47;1.23e+03;
4393.31;1.12e+02;-4393.31;1.24e+03;
4392.16;1.77e+02;-4392.16;1.25e+03;
4391.01;1.82e+02;-4391.01;1.21e+03;
4389.85;1.66e+02;-4389.85;1.26e+03;
4388.7;1.73e+02;-4388.7;1.26e+03;
4387.55;1.63e+02;-4387.55;1.25e+03;
4386.4;1.56e+02;-4386.4;1.25e+03;
4385.24;1.12e+02;-4385.24;1.25e+03;
4384.09;1.69e+02;-4384.09;1.26e+03;
4382.94;1.73e+02;-4382.94;1.24e+03;
4381.78;1.68e+02;-4381.78;1.28e+03;
4380.63;1.40e+02;-4380.63;1.29e+03;
4379.48;1.74e+02;-4379.48;1.29e+03;
4378.32;1.71e+02;-4378.32;1.23e+03;
4377.17;1.53e+02;-4377.17;1.29e+03;
4376.02;1.77e+02;-4376.02;1.29e+03;
4374.86;1.80e+02;-4374.86;1.29e+03;
4373.71;1.77e+02;-4373.71;1.30e+03;
4372.56;1.18e+02;-4372.56;1.32e+03;
4371.41;1.74e+02;-4371.41;1.32e+03;
4370.25;1.74e+02;-4370.25;1.30e+03;
4369.1;1.71e+02;-4369.1;1.32e+03;
4367.95;1.76e+02;-4367.95;1.32e+03;
4366.79;1.97e+02;-4366.79;1.32e+03;
4365.64;1.98e+02;-4365.64;1.28e+03;
4364.49;1.73e+02;-4364.49;1.35e+03;
4363.33;1.84e+02;-4363.33;1.36e+03;
4362.18;1.74e+02;-4362.18;1.35e+03;
4361.03;1.66e+02;-4361.03;1.36e+03;
4359.87;1.13e+02;-4359.87;1.35e+03;
4358.72;1.80e+02;-4358.72;1.35e+03;
4357.57;1.90e+02;-4357.57;1.34e+03;
4356.42;1.87e+02;-4356.42;1.37e+03;
4355.26;1.80e+02;-4355.26;1.38e+03;
4354.11;1.91e+02;-4354.11;1.38e+03;
4352.96;1.84e+02;-4352.96;1.32e+03;
4351.8;1.66e+02;-4351.8;1.38e+03;
4350.62;1.87e+02;-4350.62;1.38e+03;
4349.44;1.90e+02;-4349.44;1.38e+03;
4348.26;1.91e+02;-4348.26;1.40e+03;
4347.08;1.35e+02;-4347.08;1.42e+03;
4345.9;2.01e+02;-4345.9;1.42e+03;
4344.72;2.02e+02;-4344.72;1.41e+03;
4343.54;1.95e+02;-4343.54;1.43e+03;
4342.36;2.11e+02;-4342.36;1.43e+03;
4341.18;2.11e+02;-4341.18;1.43e+03;
4340;2.11e+02;-4340;1.38e+03;
4338.82;1.81e+02;-4338.82;1.45e+03;
4337.64;2.06e+02;-4337.64;1.46e+03;
4336.46;2.05e+02;-4336.46;1.46e+03;
4335.28;2.01e+02;-4335.28;1.48e+03;
4334.1;1.41e+02;-4334.1;1.47e+03;
4332.91;2.14e+02;-4332.91;1.46e+03;
4331.73;2.16e+02;-4331.73;1.43e+03;
4330.55;2.06e+02;-4330.55;1.46e+03;
4329.37;2.21e+02;-4329.37;1.47e+03;
4328.19;2.11e+02;-4328.19;1.47e+03;
4327.01;2.07e+02;-4327.01;1.44e+03;
4325.83;1.84e+02;-4325.83;1.50e+03;
4324.65;2.22e+02;-4324.65;1.51e+03;
4323.47;2.32e+02;-4323.47;1.50e+03;
4322.29;2.33e+02;-4322.29;1.52e+03;
4321.11;1.71e+02;-4321.11;1.52e+03;
4319.93;2.30e+02;-4319.93;1.52e+03;
4318.75;2.21e+02;-4318.75;1.49e+03;
4317.57;2.08e+02;-4317.57;1.53e+03;
4316.39;2.27e+02;-4316.39;1.54e+03;
4315.21;2.32e+02;-4315.21;1.55e+03;
4314.03;2.45e+02;-4314.03;1.52e+03;
4312.85;2.30e+02;-4312.85;1.57e+03;
4311.66;2.59e+02;-4311.66;1.57e+03;
4310.48;2.53e+02;-4310.48;1.55e+03;
4309.3;2.38e+02;-4309.3;1.56e+03;
4308.12;1.63e+02;-4308.12;1.56e+03;
4306.94;2.24e+02;-4306.94;1.56e+03;
4305.76;2.20e+02;-4305.76;1.53e+03;
4304.58;2.15e+02;-4304.58;1.58e+03;
4303.4;2.37e+02;-4303.4;1.59e+03;
4302.22;2.40e+02;-4302.22;1.59e+03;
4301.07;2.43e+02;-4301.07;1.55e+03;
4299.91;2.11e+02;-4299.91;1.59e+03;
4298.76;2.52e+02;-4298.76;1.59e+03;
4297.61;2.52e+02;-4297.61;1.58e+03;
4296.46;2.43e+02;-4296.46;1.61e+03;
4295.3;1.92e+02;-4295.3;1.63e+03;
4294.15;2.45e+02;-4294.15;1.64e+03;
4293;2.41e+02;-4293;1.61e+03;
4291.84;2.27e+02;-4291.84;1.65e+03;
4290.69;2.48e+02;-4290.69;1.65e+03;
4289.54;2.50e+02;-4289.54;1.64e+03;
4288.38;2.50e+02;-4288.38;1.61e+03;
4287.23;2.13e+02;-4287.23;1.65e+03;
4286.08;2.46e+02;-4286.08;1.66e+03;
4284.92;2.43e+02;-4284.92;1.65e+03;
4283.77;2.35e+02;-4283.77;1.67e+03;
4282.62;1.89e+02;-4282.62;1.67e+03;
4281.46;2.53e+02;-4281.46;1.67e+03;
4280.31;2.57e+02;-4280.31;1.64e+03;
4279.16;2.43e+02;-4279.16;1.69e+03;
4278.01;2.54e+02;-4278.01;1.69e+03;
4276.85;2.50e+02;-4276.85;1.68e+03;
4275.7;2.42e+02;-4275.7;1.65e+03;
4274.55;2.01e+02;-4274.55;1.69e+03;
4273.39;2.54e+02;-4273.39;1.70e+03;
4272.24;2.62e+02;-4272.24;1.70e+03;
4271.09;2.61e+02;-4271.09;1.73e+03;
4269.93;2.14e+02;-4269.93;1.74e+03;
4268.78;2.69e+02;-4268.78;1.75e+03;
4267.63;2.70e+02;-4267.63;1.71e+03;
4266.48;2.52e+02;-4266.48;1.75e+03;
4265.32;2.66e+02;-4265.32;1.74e+03;
4264.17;2.60e+02;-4264.17;1.73e+03;
4263.02;2.54e+02;-4263.02;1.71e+03;
4261.86;2.15e+02;-4261.86;1.74e+03;
4260.71;2.50e+02;-4260.71;1.75e+03;
4259.56;2.52e+02;-4259.56;1.75e+03;
4258.4;2.53e+02;-4258.4;1.77e+03;
4257.25;2.08e+02;-4257.25;1.78e+03;
4256.1;2.75e+02;-4256.1;1.78e+03;
4254.94;2.75e+02;-4254.94;1.73e+03;
4253.79;2.60e+02;-4253.79;1.78e+03;
4252.64;2.73e+02;-4252.64;1.78e+03;
4251.46;2.78e+02;-4251.46;1.78e+03;
4250.28;2.82e+02;-4250.28;1.79e+03;
4249.1;2.48e+02;-4249.1;1.80e+03;
4247.92;2.94e+02;-4247.92;1.81e+03;
4246.74;2.88e+02;-4246.74;1.80e+03;
4245.55;2.71e+02;-4245.55;1.83e+03;
4244.37;2.16e+02;-4244.37;1.84e+03;
4243.19;2.64e+02;-4243.19;1.83e+03;
4242.01;2.70e+02;-4242.01;1.78e+03;
4240.83;2.70e+02;-4240.83;1.84e+03;
4239.65;3.00e+02;-4239.65;1.85e+03;
4238.47;3.07e+02;-4238.47;1.85e+03;
4237.29;2.99e+02;-4237.29;1.88e+03;
4236.11;2.47e+02;-4236.11;1.88e+03;
4234.93;2.84e+02;-4234.93;1.88e+03;
4233.75;2.82e+02;-4233.75;1.85e+03;
4232.57;2.85e+02;-4232.57;1.87e+03;
4231.39;2.70e+02;-4231.39;1.87e+03;
4230.21;3.08e+02;-4230.21;1.86e+03;
4229.03;3.05e+02;-4229.03;1.81e+03;
4227.85;2.81e+02;-4227.85;1.89e+03;
4226.67;2.87e+02;-4226.67;1.90e+03;
4225.49;2.82e+02;-4225.49;1.90e+03;
4224.31;2.82e+02;-4224.31;1.93e+03;
4223.12;2.48e+02;-4223.12;1.93e+03;
4221.94;3.09e+02;-4221.94;1.92e+03;
4220.76;3.17e+02;-4220.76;1.89e+03;
4219.58;3.16e+02;-4219.58;1.93e+03;
4218.4;3.10e+02;-4218.4;1.94e+03;
4217.22;3.21e+02;-4217.22;1.94e+03;
4216.04;3.17e+02;-4216.04;1.90e+03;
4214.86;2.99e+02;-4214.86;1.96e+03;
4213.68;3.19e+02;-4213.68;1.96e+03;
4212.5;3.17e+02;-4212.5;1.96e+03;
4211.32;3.11e+02;-4211.32;1.98e+03;
4210.14;2.61e+02;-4210.14;1.98e+03;
4208.96;3.15e+02;-4208.96;1.98e+03;
4207.78;3.19e+02;-4207.78;1.95e+03;
4206.6;3.15e+02;-4206.6;1.98e+03;
4205.42;3.04e+02;-4205.42;1.98e+03;
4204.24;3.27e+02;-4204.24;1.98e+03;
4203.06;3.23e+02;-4203.06;1.93e+03;
4201.9;3.03e+02;-4201.9;2.00e+03;
4200.75;3.25e+02;-4200.75;2.01e+03;
4199.6;3.30e+02;-4199.6;2.01e+03;
4198.44;3.32e+02;-4198.44;2.03e+03;
4197.29;2.81e+02;-4197.29;2.04e+03;
4196.14;3.40e+02;-4196.14;2.05e+03;
4194.98;3.33e+02;-4194.98;2.03e+03;
4193.83;3.19e+02;-4193.83;2.06e+03;
4192.68;3.21e+02;-4192.68;2.06e+03;
4191.52;3.32e+02;-4191.52;2.05e+03;
4190.37;3.35e+02;-4190.37;2.00e+03;
4189.22;3.16e+02;-4189.22;2.06e+03;
4188.07;3.34e+02;-4188.07;2.07e+03;
4186.91;3.27e+02;-4186.91;2.07e+03;
4185.76;3.21e+02;-4185.76;2.09e+03;
4184.61;2.75e+02;-4184.61;2.08e+03;
4183.45;3.29e+02;-4183.45;2.08e+03;
4182.3;3.35e+02;-4182.3;2.05e+03;
4181.15;3.31e+02;-4181.15;2.07e+03;
4179.99;3.12e+02;-4179.99;2.08e+03;
4178.84;3.43e+02;-4178.84;2.09e+03;
4177.69;3.44e+02;-4177.69;2.05e+03;
4176.53;3.26e+02;-4176.53;2.11e+03;
4175.38;3.43e+02;-4175.38;2.12e+03;
4174.23;3.42e+02;-4174.23;2.11e+03;
4173.08;3.39e+02;-4173.08;2.13e+03;
4171.92;2.90e+02;-4171.92;2.14e+03;
4170.77;3.53e+02;-4170.77;2.15e+03;
4169.62;3.61e+02;-4169.62;2.12e+03;
4168.46;3.56e+02;-4168.46;2.16e+03;
4167.31;3.42e+02;-4167.31;2.16e+03;
4166.16;3.53e+02;-4166.16;2.15e+03;
4165;3.43e+02;-4165;2.11e+03;
4163.85;3.19e+02;-4163.85;2.15e+03;
4162.7;3.43e+02;-4162.7;2.16e+03;
4161.54;3.45e+02;-4161.54;2.16e+03;
4160.39;3.43e+02;-4160.39;2.18e+03;
4159.24;2.85e+02;-4159.24;2.19e+03;
4158.08;3.47e+02;-4158.08;2.19e+03;
4156.93;3.51e+02;-4156.93;2.15e+03;
4155.78;3.49e+02;-4155.78;2.18e+03;
4154.63;3.46e+02;-4154.63;2.18e+03;
4153.47;3.67e+02;-4153.47;2.18e+03;
4152.29;3.64e+02;-4152.29;2.16e+03;
4151.11;3.40e+02;-4151.11;2.22e+03;
4149.93;3.59e+02;-4149.93;2.23e+03;
4148.75;3.61e+02;-4148.75;2.23e+03;
4147.57;3.63e+02;-4147.57;2.25e+03;
4146.39;3.07e+02;-4146.39;2.25e+03;
4145.21;3.81e+02;-4145.21;2.24e+03;
4144.03;3.79e+02;-4144.03;2.21e+03;
4142.85;3.66e+02;-4142.85;2.26e+03;
4141.67;3.73e+02;-4141.67;2.27e+03;
4140.49;3.75e+02;-4140.49;2.27e+03;
4139.31;3.77e+02;-4139.31;2.27e+03;
4138.13;3.63e+02;-4138.13;2.29e+03;
4136.95;3.90e+02;-4136.95;2.29e+03;
4135.76;3.89e+02;-4135.76;2.27e+03;
4134.58;3.80e+02;-4134.58;2.29e+03;
4133.4;3.17e+02;-4133.4;2.30e+03;
4132.22;3.81e+02;-4132.22;2.29e+03;
4131.04;3.85e+02;-4131.04;2.25e+03;
4129.86;3.81e+02;-4129.86;2.30e+03;
4128.68;4.05e+02;-4128.68;2.30e+03;
4127.5;3.99e+02;-4127.5;2.31e+03;
4126.32;3.91e+02;-4126.32;2.31e+03;
4125.14;3.57e+02;-4125.14;2.35e+03;
4123.96;3.85e+02;-4123.96;2.35e+03;
4122.78;3.88e+02;-4122.78;2.34e+03;
4121.6;3.90e+02;-4121.6;2.36e+03;
4120.42;3.37e+02;-4120.42;2.35e+03;
4119.24;4.12e+02;-4119.24;2.36e+03;
4118.06;4.15e+02;-4118.06;2.32e+03;
4116.88;4.06e+02;-4116.88;2.38e+03;
4115.7;4.22e+02;-4115.7;2.39e+03;
4114.52;4.23e+02;-4114.52;2.39e+03;
4113.33;4.20e+02;-4113.33;2.39e+03;
4112.15;3.86e+02;-4112.15;2.40e+03;
4110.97;4.19e+02;-4110.97;2.40e+03;
4109.79;4.12e+02;-4109.79;2.39e+03;
4108.61;4.04e+02;-4108.61;2.41e+03;
4107.43;3.43e+02;-4107.43;2.41e+03;
4106.25;4.12e+02;-4106.25;2.40e+03;
4105.07;4.17e+02;-4105.07;2.36e+03;
4103.89;4.10e+02;-4103.89;2.42e+03;
4102.74;4.29e+02;-4102.74;2.43e+03;
4101.58;4.19e+02;-4101.58;2.43e+03;
4100.43;4.12e+02;-4100.43;2.44e+03;
4099.28;3.77e+02;-4099.28;2.46e+03;
4098.12;4.14e+02;-4098.12;2.47e+03;
4096.97;4.22e+02;-4096.97;2.46e+03;
4095.82;4.25e+02;-4095.82;2.47e+03;
4094.67;3.75e+02;-4094.67;2.47e+03;
4093.51;4.37e+02;-4093.51;2.47e+03;
4092.36;4.29e+02;-4092.36;2.42e+03;
4091.21;4.09e+02;-4091.21;2.49e+03;
4090.05;4.17e+02;-4090.05;2.49e+03;
4088.9;4.17e+02;-4088.9;2.49e+03;
4087.75;4.17e+02;-4087.75;2.48e+03;
4086.59;3.81e+02;-4086.59;2.49e+03;
4085.44;4.28e+02;-4085.44;2.49e+03;
4084.29;4.30e+02;-4084.29;2.48e+03;
4083.13;4.24e+02;-4083.13;2.51e+03;
4081.98;3.79e+02;-4081.98;2.51e+03;
4080.83;4.33e+02;-4080.83;2.52e+03;
4079.68;4.37e+02;-4079.68;2.47e+03;
4078.52;4.30e+02;-4078.52;2.53e+03;
4077.37;4.52e+02;-4077.37;2.54e+03;
4076.22;4.49e+02;-4076.22;2.54e+03;
4075.06;4.41e+02;-4075.06;2.55e+03;
4073.91;3.92e+02;-4073.91;2.56e+03;
4072.76;4.38e+02;-4072.76;2.56e+03;
4071.6;4.44e+02;-4071.6;2.55e+03;
4070.45;4.51e+02;-4070.45;2.58e+03;
4069.3;4.33e+02;-4069.3;2.59e+03;
4068.14;4.73e+02;-4068.14;2.58e+03;
4066.99;4.62e+02;-4066.99;2.53e+03;
4065.84;4.28e+02;-4065.84;2.59e+03;
4064.69;4.27e+02;-4064.69;2.59e+03;
4063.53;4.20e+02;-4063.53;2.58e+03;
4062.38;4.21e+02;-4062.38;2.60e+03;
4061.23;3.96e+02;-4061.23;2.61e+03;
4060.07;4.51e+02;-4060.07;2.61e+03;
4058.92;4.57e+02;-4058.92;2.59e+03;
4057.77;4.54e+02;-4057.77;2.62e+03;
4056.61;4.31e+02;-4056.61;2.61e+03;
4055.46;4.58e+02;-4055.46;2.62e+03;
4054.31;4.56e+02;-4054.31;2.58e+03;
4053.13;4.37e+02;-4053.13;2.64e+03;
4051.95;4.58e+02;-4051.95;2.66e+03;
4050.77;4.60e+02;-4050.77;2.66e+03;
4049.59;4.61e+02;-4049.59;2.68e+03;
4048.4;4.15e+02;-4048.4;2.69e+03;
4047.22;4.67e+02;-4047.22;2.69e+03;
4046.04;4.69e+02;-4046.04;2.66e+03;
4044.86;4.67e+02;-4044.86;2.70e+03;
4043.68;4.49e+02;-4043.68;2.70e+03;
4042.5;4.87e+02;-4042.5;2.69e+03;
4041.32;4.89e+02;-4041.32;2.66e+03;
4040.14;4.72e+02;-4040.14;2.71e+03;
4038.96;4.87e+02;-4038.96;2.72e+03;
4037.78;4.81e+02;-4037.78;2.72e+03;
4036.6;4.73e+02;-4036.6;2.73e+03;
4035.42;4.19e+02;-4035.42;2.73e+03;
4034.24;4.80e+02;-4034.24;2.73e+03;
4033.06;4.88e+02;-4033.06;2.69e+03;
4031.88;4.86e+02;-4031.88;2.73e+03;
4030.7;4.96e+02;-4030.7;2.74e+03;
4029.52;4.96e+02;-4029.52;2.75e+03;
4028.34;4.86e+02;-4028.34;2.71e+03;
4027.16;4.57e+02;-4027.16;2.78e+03;
4025.97;4.81e+02;-4025.97;2.78e+03;
4024.79;4.87e+02;-4024.79;2.78e+03;
4023.61;4.94e+02;-4023.61;2.80e+03;
4022.43;4.44e+02;-4022.43;2.80e+03;
4021.25;5.14e+02;-4021.25;2.80e+03;
4020.07;5.15e+02;-4020.07;2.76e+03;
4018.89;5.02e+02;-4018.89;2.80e+03;
4017.71;5.15e+02;-4017.71;2.81e+03;
4016.53;5.14e+02;-4016.53;2.82e+03;
4015.35;5.15e+02;-4015.35;2.79e+03;
4014.17;4.95e+02;-4014.17;2.85e+03;
4012.99;5.17e+02;-4012.99;2.85e+03;
4011.81;5.15e+02;-4011.81;2.83e+03;
4010.63;5.08e+02;-4010.63;2.84e+03;
4009.45;4.51e+02;-4009.45;2.84e+03;
4008.27;5.19e+02;-4008.27;2.84e+03;
4007.09;5.22e+02;-4007.09;2.81e+03;
4005.91;5.15e+02;-4005.91;2.87e+03;
4004.73;5.22e+02;-4004.73;2.88e+03;
4003.57;5.12e+02;-4003.57;2.88e+03;
4002.42;5.05e+02;-4002.42;2.88e+03;
4001.27;4.84e+02;-4001.27;2.90e+03;
4000.11;5.17e+02;-4000.11;2.90e+03;
3998.96;5.28e+02;-3998.96;2.89e+03;
3997.81;5.31e+02;-3997.81;2.90e+03;
3996.65;4.75e+02;-3996.65;2.91e+03;
3995.5;5.35e+02;-3995.5;2.91e+03;
3994.35;5.26e+02;-3994.35;2.88e+03;
3993.19;5.07e+02;-3993.19;2.93e+03;
3992.04;5.21e+02;-3992.04;2.93e+03;
3990.89;5.19e+02;-3990.89;2.93e+03;
3989.73;5.23e+02;-3989.73;2.92e+03;
3988.58;5.02e+02;-3988.58;2.94e+03;
3987.43;5.38e+02;-3987.43;2.94e+03;
