Pos X [µm];X;Pos Y [µm];Y;
4500.55;5.69e+02;-4500.55;1.48e+02;
4499.37;6.18e+02;-4499.37;1.48e+02;
4498.19;6.21e+02;-4498.19;1.02e+02;
4497.01;6.24e+02;-4497.01;1.42e+02;
4495.83;6.37e+02;-4495.83;1.34e+02;
4494.65;6.68e+02;-4494.65;1.22e+02;
4493.47;6.80e+02;-4493.47;1.20e+02;
4492.29;6.68e+02;-4492.29;1.42e+02;
4491.11;6.86e+02;-4491.11;1.52e+02;
4489.93;6.81e+02;-4489.93;1.40e+02;
4488.75;6.75e+02;-4488.75;1.64e+02;
4487.56;6.21e+02;-4487.56;1.62e+02;
4486.38;6.84e+02;-4486.38;1.52e+02;
4485.2;6.92e+02;-4485.2;9.45e+01;
4484.02;6.95e+02;-4484.02;1.54e+02;
4482.84;6.96e+02;-4482.84;1.54e+02;
4481.66;7.21e+02;-4481.66;1.48e+02;
4480.48;7.22e+02;-4480.48;1.54e+02;
4479.3;6.97e+02;-4479.3;1.56e+02;
4478.12;7.17e+02;-4478.12;1.50e+02;
4476.94;7.15e+02;-4476.94;1.28e+02;
4475.76;7.15e+02;-4475.76;1.56e+02;
4474.58;6.67e+02;-4474.58;1.62e+02;
4473.4;7.45e+02;-4473.4;1.64e+02;
4472.22;7.55e+02;-4472.22;1.10e+02;
4471.04;7.55e+02;-4471.04;1.68e+02;
4469.86;7.70e+02;-4469.86;1.62e+02;
4468.68;7.74e+02;-4468.68;1.48e+02;
4467.5;7.71e+02;-4467.5;1.50e+02;
4466.32;7.42e+02;-4466.32;1.64e+02;
4465.13;7.61e+02;-4465.13;1.68e+02;
4463.95;7.51e+02;-4463.95;1.50e+02;
4462.77;7.43e+02;-4462.77;1.72e+02;
4461.59;6.95e+02;-4461.59;1.66e+02;
4460.41;7.68e+02;-4460.41;1.54e+02;
4459.23;7.91e+02;-4459.23;9.15e+01;
4458.05;8.05e+02;-4458.05;1.58e+02;
