Pos X [µm];X;Pos Y [µm];Y;
4500.55;1.02e+03;-4500.55;4.37e+02;
4499.37;1.04e+03;-4499.37;4.67e+02;
4498.19;1.06e+03;-4498.19;4.62e+02;
4497.01;1.08e+03;-4497.01;4.57e+02;
4495.83;1.06e+03;-4495.83;4.12e+02;
4494.65;1.10e+03;-4494.65;4.84e+02;
4493.47;1.10e+03;-4493.47;4.92e+02;
4492.29;1.09e+03;-4492.29;4.83e+02;
4491.11;1.05e+03;-4491.11;4.90e+02;
4489.93;1.11e+03;-4489.93;4.81e+02;
4488.75;1.12e+03;-4488.75;4.71e+02;
4487.56;1.12e+03;-4487.56;4.31e+02;
4486.38;1.12e+03;-4486.38;4.85e+02;
4485.2;1.10e+03;-4485.2;4.94e+02;
4484.02;1.08e+03;-4484.02;4.94e+02;
4482.84;1.03e+03;-4482.84;4.57e+02;
4481.66;1.09e+03;-4481.66;5.00e+02;
4480.48;1.12e+03;-4480.48;4.97e+02;
4479.3;1.15e+03;-4479.3;4.84e+02;
4478.12;1.15e+03;-4478.12;5.03e+02;
4476.94;1.21e+03;-4476.94;5.10e+02;
4475.76;1.22e+03;-4475.76;5.15e+02;
4474.58;1.21e+03;-4474.58;4.81e+02;
4473.4;1.22e+03;-4473.4;5.34e+02;
4472.22;1.22e+03;-4472.22;5.36e+02;
4471.04;1.21e+03;-4471.04;5.27e+02;
4469.86;1.15e+03;-4469.86;4.91e+02;
4468.68;1.20e+03;-4468.68;5.37e+02;
4467.5;1.20e+03;-4467.5;5.40e+02;
4466.32;1.20e+03;-4466.32;5.31e+02;
4465.13;1.19e+03;-4465.13;5.49e+02;
4463.95;1.24e+03;-4463.95;5.48e+02;
4462.77;1.25e+03;-4462.77;5.40e+02;
4461.59;1.24e+03;-4461.59;4.92e+02;
4460.41;1.24e+03;-4460.41;5.40e+02;
4459.23;1.23e+03;-4459.23;5.45e+02;
4458.05;1.22e+03;-4458.05;5.47e+02;
4456.87;1.18e+03;-4456.87;5.09e+02;
4455.69;1.23e+03;-4455.69;5.63e+02;
4454.51;1.25e+03;-4454.51;5.58e+02;
4453.33;1.26e+03;-4453.33;5.38e+02;
4452.15;1.26e+03;-4452.15;5.53e+02;
4450.97;1.32e+03;-4450.97;5.56e+02;
4449.79;1.34e+03;-4449.79;5.59e+02;
4448.61;1.33e+03;-4448.61;5.21e+02;
4447.43;1.34e+03;-4447.43;5.80e+02;
4446.25;1.34e+03;-4446.25;5.91e+02;
4445.07;1.33e+03;-4445.07;5.94e+02;
4443.88;1.28e+03;-4443.88;5.75e+02;
4442.7;1.34e+03;-4442.7;6.09e+02;
4441.52;1.36e+03;-4441.52;6.04e+02;
4440.34;1.37e+03;-4440.34;5.84e+02;
4439.16;1.37e+03;-4439.16;5.99e+02;
4437.98;1.41e+03;-4437.98;6.02e+02;
4436.8;1.41e+03;-4436.8;6.04e+02;
4435.62;1.39e+03;-4435.62;5.68e+02;
4434.44;1.41e+03;-4434.44;6.23e+02;
4433.26;1.40e+03;-4433.26;6.25e+02;
4432.08;1.40e+03;-4432.08;6.14e+02;
4430.9;1.35e+03;-4430.9;5.99e+02;
4429.72;1.42e+03;-4429.72;6.14e+02;
4428.54;1.43e+03;-4428.54;6.12e+02;
4427.36;1.44e+03;-4427.36;5.96e+02;
4426.18;1.45e+03;-4426.18;6.23e+02;
4425;1.46e+03;-4425;6.29e+02;
4423.82;1.46e+03;-4423.82;6.32e+02;
4422.64;1.44e+03;-4422.64;5.84e+02;
4421.45;1.46e+03;-4421.45;6.52e+02;
4420.27;1.47e+03;-4420.27;6.59e+02;
4419.09;1.47e+03;-4419.09;6.55e+02;
4417.91;1.44e+03;-4417.91;6.64e+02;
4416.73;1.50e+03;-4416.73;6.60e+02;
4415.55;1.51e+03;-4415.55;6.56e+02;
4414.37;1.52e+03;-4414.37;6.36e+02;
4413.19;1.53e+03;-4413.19;6.66e+02;
4412.01;1.54e+03;-4412.01;6.75e+02;
4410.83;1.54e+03;-4410.83;6.73e+02;
4409.65;1.52e+03;-4409.65;6.09e+02;
4408.47;1.54e+03;-4408.47;6.73e+02;
4407.29;1.54e+03;-4407.29;6.69e+02;
4406.11;1.54e+03;-4406.11;6.58e+02;
4404.93;1.50e+03;-4404.93;6.79e+02;
4403.75;1.56e+03;-4403.75;6.77e+02;
4402.57;1.58e+03;-4402.57;6.79e+02;
4401.39;1.58e+03;-4401.39;6.52e+02;
4400.23;1.56e+03;-4400.23;6.91e+02;
4399.08;1.58e+03;-4399.08;6.96e+02;
4397.93;1.58e+03;-4397.93;6.98e+02;
4396.77;1.58e+03;-4396.77;6.49e+02;
4395.62;1.61e+03;-4395.62;7.15e+02;
4394.47;1.63e+03;-4394.47;7.16e+02;
4393.31;1.64e+03;-4393.31;7.04e+02;
4392.16;1.59e+03;-4392.16;7.19e+02;
4391.01;1.64e+03;-4391.01;7.10e+02;
4389.85;1.63e+03;-4389.85;7.07e+02;
4388.7;1.62e+03;-4388.7;6.77e+02;
4387.55;1.60e+03;-4387.55;7.13e+02;
4386.4;1.62e+03;-4386.4;7.15e+02;
4385.24;1.62e+03;-4385.24;7.11e+02;
4384.09;1.60e+03;-4384.09;6.58e+02;
4382.94;1.62e+03;-4382.94;7.23e+02;
4381.78;1.63e+03;-4381.78;7.24e+02;
4380.63;1.65e+03;-4380.63;7.14e+02;
4379.48;1.62e+03;-4379.48;7.27e+02;
4378.32;1.68e+03;-4378.32;7.29e+02;
4377.17;1.70e+03;-4377.17;7.25e+02;
4376.02;1.70e+03;-4376.02;6.90e+02;
4374.86;1.68e+03;-4374.86;7.37e+02;
4373.71;1.72e+03;-4373.71;7.45e+02;
4372.56;1.71e+03;-4372.56;7.51e+02;
4371.41;1.69e+03;-4371.41;7.27e+02;
4370.25;1.70e+03;-4370.25;7.76e+02;
4369.1;1.70e+03;-4369.1;7.75e+02;
4367.95;1.70e+03;-4367.95;7.53e+02;
4366.79;1.67e+03;-4366.79;7.59e+02;
4365.64;1.74e+03;-4365.64;7.50e+02;
4364.49;1.74e+03;-4364.49;7.46e+02;
4363.33;1.73e+03;-4363.33;7.08e+02;
4362.18;1.73e+03;-4362.18;7.58e+02;
4361.03;1.72e+03;-4361.03;7.66e+02;
4359.87;1.72e+03;-4359.87;7.63e+02;
4358.72;1.72e+03;-4358.72;7.18e+02;
4357.57;1.76e+03;-4357.57;7.71e+02;
4356.42;1.78e+03;-4356.42;7.71e+02;
4355.26;1.78e+03;-4355.26;7.59e+02;
4354.11;1.73e+03;-4354.11;7.76e+02;
4352.96;1.78e+03;-4352.96;7.87e+02;
4351.8;1.79e+03;-4351.8;7.94e+02;
4350.62;1.79e+03;-4350.62;7.69e+02;
4349.44;1.82e+03;-4349.44;8.21e+02;
4348.26;1.83e+03;-4348.26;8.29e+02;
4347.08;1.83e+03;-4347.08;8.25e+02;
4345.9;1.81e+03;-4345.9;7.78e+02;
4344.72;1.83e+03;-4344.72;8.19e+02;
4343.54;1.83e+03;-4343.54;8.10e+02;
4342.36;1.83e+03;-4342.36;7.94e+02;
4341.18;1.78e+03;-4341.18;8.12e+02;
4340;1.85e+03;-4340;8.17e+02;
4338.82;1.86e+03;-4338.82;8.23e+02;
4337.64;1.86e+03;-4337.64;7.90e+02;
4336.46;1.88e+03;-4336.46;8.40e+02;
4335.28;1.88e+03;-4335.28;8.45e+02;
4334.1;1.88e+03;-4334.1;8.39e+02;
4332.91;1.85e+03;-4332.91;8.09e+02;
4331.73;1.88e+03;-4331.73;8.36e+02;
4330.55;1.88e+03;-4330.55;8.28e+02;
4329.37;1.89e+03;-4329.37;8.11e+02;
4328.19;1.84e+03;-4328.19;8.33e+02;
4327.01;1.91e+03;-4327.01;8.46e+02;
4325.83;1.92e+03;-4325.83;8.61e+02;
4324.65;1.92e+03;-4324.65;8.34e+02;
4323.47;1.94e+03;-4323.47;8.89e+02;
4322.29;1.93e+03;-4322.29;8.87e+02;
4321.11;1.94e+03;-4321.11;8.73e+02;
4319.93;1.92e+03;-4319.93;8.49e+02;
4318.75;1.95e+03;-4318.75;8.70e+02;
4317.57;1.95e+03;-4317.57;8.70e+02;
4316.39;1.95e+03;-4316.39;8.59e+02;
4315.21;1.90e+03;-4315.21;8.83e+02;
4314.03;1.97e+03;-4314.03;8.85e+02;
4312.85;1.98e+03;-4312.85;8.81e+02;
4311.66;1.98e+03;-4311.66;8.33e+02;
4310.48;1.99e+03;-4310.48;8.88e+02;
4309.3;1.99e+03;-4309.3;8.95e+02;
4308.12;1.99e+03;-4308.12;8.95e+02;
4306.94;1.97e+03;-4306.94;8.86e+02;
4305.76;2.00e+03;-4305.76;9.15e+02;
4304.58;2.01e+03;-4304.58;9.12e+02;
4303.4;2.01e+03;-4303.4;8.88e+02;
4302.22;1.97e+03;-4302.22;9.06e+02;
4301.07;2.03e+03;-4301.07;9.10e+02;
4299.91;2.03e+03;-4299.91;9.13e+02;
4298.76;2.03e+03;-4298.76;8.62e+02;
4297.61;2.05e+03;-4297.61;9.29e+02;
4296.46;2.06e+03;-4296.46;9.32e+02;
4295.3;2.06e+03;-4295.3;9.25e+02;
4294.15;2.04e+03;-4294.15;9.33e+02;
4293;2.07e+03;-4293;9.28e+02;
4291.84;2.07e+03;-4291.84;9.25e+02;
4290.69;2.06e+03;-4290.69;9.02e+02;
4289.54;2.00e+03;-4289.54;9.27e+02;
4288.38;2.05e+03;-4288.38;9.29e+02;
4287.23;2.04e+03;-4287.23;9.27e+02;
4286.08;2.04e+03;-4286.08;8.74e+02;
4284.92;2.06e+03;-4284.92;9.38e+02;
4283.77;2.08e+03;-4283.77;9.42e+02;
4282.62;2.09e+03;-4282.62;9.38e+02;
4281.46;2.08e+03;-4281.46;9.47e+02;
4280.31;2.12e+03;-4280.31;9.55e+02;
4279.16;2.11e+03;-4279.16;9.56e+02;
4278.01;2.10e+03;-4278.01;9.38e+02;
4276.85;2.05e+03;-4276.85;9.63e+02;
4275.7;2.11e+03;-4275.7;9.68e+02;
4274.55;2.13e+03;-4274.55;9.71e+02;
4273.39;2.14e+03;-4273.39;9.24e+02;
4272.24;2.16e+03;-4272.24;9.91e+02;
4271.09;2.17e+03;-4271.09;9.98e+02;
4269.93;2.18e+03;-4269.93;9.93e+02;
4268.78;2.15e+03;-4268.78;9.83e+02;
4267.63;2.17e+03;-4267.63;9.88e+02;
4266.48;2.16e+03;-4266.48;9.80e+02;
4265.32;2.15e+03;-4265.32;9.55e+02;
4264.17;2.09e+03;-4264.17;9.79e+02;
4263.02;2.15e+03;-4263.02;9.82e+02;
4261.86;2.15e+03;-4261.86;9.85e+02;
4260.71;2.14e+03;-4260.71;9.37e+02;
4259.56;2.16e+03;-4259.56;1.01e+03;
4258.4;2.17e+03;-4258.4;1.01e+03;
4257.25;2.17e+03;-4257.25;1.01e+03;
4256.1;2.17e+03;-4256.1;9.89e+02;
4254.94;2.21e+03;-4254.94;1.02e+03;
4253.79;2.24e+03;-4253.79;1.02e+03;
4252.64;2.26e+03;-4252.64;9.95e+02;
4251.43;2.21e+03;-4251.46;1.02e+03;
4250.22;2.26e+03;-4250.28;1.03e+03;
4249.01;2.24e+03;-4249.1;1.03e+03;
4247.8;2.22e+03;-4247.92;9.83e+02;
4246.59;2.23e+03;-4246.74;1.05e+03;
4245.38;2.23e+03;-4245.55;1.05e+03;
4244.17;2.25e+03;-4244.37;1.03e+03;
4242.96;2.25e+03;-4243.19;1.04e+03;
4241.75;2.29e+03;-4242.01;1.04e+03;
4240.54;2.29e+03;-4240.83;1.05e+03;
4239.34;2.27e+03;-4239.65;1.03e+03;
4238.13;2.21e+03;-4238.47;1.07e+03;
4236.92;2.26e+03;-4237.29;1.08e+03;
4235.71;2.27e+03;-4236.11;1.08e+03;
4234.5;2.29e+03;-4234.93;1.02e+03;
4233.29;2.32e+03;-4233.75;1.07e+03;
4232.08;2.33e+03;-4232.57;1.06e+03;
4230.87;2.33e+03;-4231.39;1.05e+03;
4229.66;2.30e+03;-4230.21;1.07e+03;
4228.45;2.32e+03;-4229.03;1.08e+03;
4227.24;2.32e+03;-4227.85;1.09e+03;
4226.03;2.33e+03;-4226.67;1.07e+03;
4224.82;2.31e+03;-4225.49;1.11e+03;
4223.61;2.38e+03;-4224.31;1.11e+03;
4222.4;2.40e+03;-4223.12;1.10e+03;
4221.2;2.38e+03;-4221.94;1.03e+03;
4219.99;2.39e+03;-4220.76;1.09e+03;
4218.78;2.38e+03;-4219.58;1.08e+03;
4217.57;2.38e+03;-4218.4;1.08e+03;
4216.36;2.37e+03;-4217.22;1.11e+03;
4215.15;2.41e+03;-4216.04;1.12e+03;
4213.94;2.42e+03;-4214.86;1.13e+03;
4212.73;2.42e+03;-4213.68;1.10e+03;
4211.52;2.36e+03;-4212.5;1.14e+03;
4210.31;2.41e+03;-4211.32;1.13e+03;
4209.1;2.40e+03;-4210.14;1.12e+03;
4207.89;2.38e+03;-4208.96;1.07e+03;
4206.68;2.40e+03;-4207.78;1.12e+03;
4205.47;2.41e+03;-4206.6;1.12e+03;
4204.26;2.43e+03;-4205.42;1.12e+03;
4203.06;2.43e+03;-4204.24;1.14e+03;
