Pos X [µm];X;Pos Y [µm];Y;
4500.55;2.02e+01;-4500.55;3.25e+01;
4499.37;1.82e+01;-4499.37;3.25e+01;
4498.19;-8.77e+00;-4498.19;2.85e+01;
4497.01;2.42e+01;-4497.01;-1.95e+01;
4495.83;2.72e+01;-4495.83;3.15e+01;
4494.65;2.62e+01;-4494.65;3.45e+01;
4493.47;-3.38e+01;-4493.47;3.05e+01;
4492.29;3.82e+01;-4492.29;-1.53e+00;
4491.11;3.42e+01;-4491.11;4.65e+01;
4489.93;1.72e+01;-4489.93;4.65e+01;
4488.75;2.92e+01;-4488.75;2.85e+01;
4487.56;2.02e+01;-4487.56;4.15e+01;
4486.38;2.02e+01;-4486.38;3.95e+01;
4485.2;-7.77e+00;-4485.2;3.15e+01;
4484.02;3.22e+01;-4484.02;-2.45e+01;
4482.84;3.62e+01;-4482.84;3.45e+01;
4481.66;2.82e+01;-4481.66;3.35e+01;
4480.48;-3.28e+01;-4480.48;2.55e+01;
4479.3;2.02e+01;-4479.3;1.25e+01;
4478.12;1.82e+01;-4478.12;3.85e+01;
4476.94;6.23e+00;-4476.94;3.85e+01;
4475.76;2.82e+01;-4475.76;2.25e+01;
4474.58;2.92e+01;-4474.58;4.25e+01;
4473.4;2.82e+01;-4473.4;4.25e+01;
4472.22;-9.77e+00;-4472.22;3.75e+01;
4471.04;3.22e+01;-4471.04;-1.85e+01;
4469.86;3.52e+01;-4469.86;3.45e+01;
4468.68;3.12e+01;-4468.68;3.55e+01;
4467.5;-2.78e+01;-4467.5;3.05e+01;
4466.32;3.82e+01;-4466.32;8.47e+00;
4465.13;3.22e+01;-4465.13;4.45e+01;
4463.95;1.42e+01;-4463.95;3.95e+01;
4462.77;2.12e+01;-4462.77;1.65e+01;
4461.59;1.72e+01;-4461.59;3.15e+01;
4460.41;1.22e+01;-4460.41;3.45e+01;
4459.23;-2.48e+01;-4459.23;3.75e+01;
4458.05;2.42e+01;-4458.05;-1.35e+01;
4456.87;3.22e+01;-4456.87;4.75e+01;
4455.69;3.22e+01;-4455.69;4.45e+01;
4454.51;-1.48e+01;-4454.51;3.05e+01;
4453.33;3.82e+01;-4453.33;2.55e+01;
4452.15;3.62e+01;-4452.15;3.05e+01;
4450.97;2.22e+01;-4450.97;2.95e+01;
4449.79;3.72e+01;-4449.79;1.35e+01;
4448.61;3.52e+01;-4448.61;4.45e+01;
4447.43;2.72e+01;-4447.43;5.05e+01;
4446.25;-1.78e+01;-4446.25;4.65e+01;
4445.07;3.02e+01;-4445.07;-1.65e+01;
4443.88;3.62e+01;-4443.88;4.05e+01;
4442.7;3.42e+01;-4442.7;3.55e+01;
4441.52;-6.77e+00;-4441.52;2.65e+01;
4440.34;4.52e+01;-4440.34;1.65e+01;
4439.16;4.22e+01;-4439.16;4.65e+01;
4437.98;3.02e+01;-4437.98;5.05e+01;
4436.8;4.62e+01;-4436.8;3.35e+01;
4435.62;5.22e+01;-4435.62;4.75e+01;
4434.44;5.32e+01;-4434.44;4.35e+01;
4433.26;6.23e+00;-4433.26;3.95e+01;
4432.08;5.22e+01;-4432.08;-1.55e+01;
4430.9;4.72e+01;-4430.9;4.95e+01;
4429.72;3.82e+01;-4429.72;5.25e+01;
4428.54;2.82e+01;-4428.54;4.45e+01;
4427.36;4.52e+01;-4427.36;4.65e+01;
4426.18;4.42e+01;-4426.18;4.85e+01;
4425;3.02e+01;-4425;4.25e+01;
4423.82;5.62e+01;-4423.82;1.85e+01;
4422.64;6.22e+01;-4422.64;4.05e+01;
4421.45;6.32e+01;-4421.45;4.15e+01;
4420.27;6.23e+00;-4420.27;3.85e+01;
4419.09;6.32e+01;-4419.09;-1.95e+01;
4417.91;5.32e+01;-4417.91;4.75e+01;
4416.73;3.92e+01;-4416.73;4.85e+01;
4415.55;2.22e+01;-4415.55;4.25e+01;
4414.37;4.62e+01;-4414.37;6.35e+01;
4413.19;5.22e+01;-4413.19;6.15e+01;
4412.01;4.42e+01;-4412.01;5.75e+01;
4410.83;7.12e+01;-4410.83;2.75e+01;
4409.65;7.42e+01;-4409.65;4.75e+01;
4408.47;6.82e+01;-4408.47;4.85e+01;
4407.29;1.12e+01;-4407.29;4.85e+01;
4406.11;6.42e+01;-4406.11;-7.53e+00;
4404.93;5.82e+01;-4404.93;5.75e+01;
4403.75;4.32e+01;-4403.75;5.45e+01;
4402.57;4.22e+01;-4402.57;4.35e+01;
4401.39;4.72e+01;-4401.39;4.85e+01;
4400.23;4.82e+01;-4400.23;5.05e+01;
4399.08;3.12e+01;-4399.08;4.95e+01;
4397.93;6.42e+01;-4397.93;2.75e+01;
4396.77;7.02e+01;-4396.77;5.65e+01;
4395.62;6.82e+01;-4395.62;5.75e+01;
4394.47;1.22e+01;-4394.47;5.15e+01;
4393.31;6.42e+01;-4393.31;-1.25e+01;
4392.16;6.22e+01;-4392.16;5.25e+01;
4391.01;5.32e+01;-4391.01;5.45e+01;
4389.85;5.32e+01;-4389.85;4.35e+01;
4388.7;6.42e+01;-4388.7;6.65e+01;
4387.55;5.82e+01;-4387.55;5.95e+01;
4386.4;3.02e+01;-4386.4;5.45e+01;
4385.24;4.82e+01;-4385.24;1.85e+01;
4384.09;5.12e+01;-4384.09;5.15e+01;
4382.94;5.32e+01;-4382.94;4.85e+01;
4381.78;1.23e+00;-4381.78;4.05e+01;
4380.63;7.62e+01;-4380.63;-2.45e+01;
4379.48;7.62e+01;-4379.48;4.75e+01;
4378.32;6.42e+01;-4378.32;5.05e+01;
4377.17;6.42e+01;-4377.17;4.45e+01;
4376.02;6.02e+01;-4376.02;6.65e+01;
4374.86;5.52e+01;-4374.86;6.55e+01;
4373.71;3.12e+01;-4373.71;6.15e+01;
4372.56;6.12e+01;-4372.56;2.55e+01;
4371.41;6.82e+01;-4371.41;5.25e+01;
4370.25;7.42e+01;-4370.25;4.75e+01;
4369.1;2.22e+01;-4369.1;4.25e+01;
4367.95;8.42e+01;-4367.95;-1.55e+01;
4366.79;8.02e+01;-4366.79;5.85e+01;
4365.64;6.12e+01;-4365.64;6.45e+01;
4364.49;4.92e+01;-4364.49;5.25e+01;
4363.33;5.32e+01;-4363.33;6.65e+01;
4362.18;5.12e+01;-4362.18;5.85e+01;
4361.03;3.42e+01;-4361.03;5.25e+01;
4359.87;6.62e+01;-4359.87;1.75e+01;
4358.72;7.42e+01;-4358.72;5.35e+01;
4357.57;6.82e+01;-4357.57;5.55e+01;
4356.42;1.23e+00;-4356.42;5.35e+01;
